Date,Open,High,Low,Close,Adj Close,Volume,Direction,Day,Month,Year
18/06/2019,7920.97998,8005.209961,7911.669922,7953.879883,7953.879883,2244920000,1,18,6,2019
19/06/2019,7970.259766,7998.589844,7930.379883,7987.319824,7987.319824,2014080000,1,19,6,2019
20/06/2019,8087.450195,8088.879883,7996.870117,8051.339844,8051.339844,2053530000,1,20,6,2019
21/06/2019,8028.689941,8073.02002,8011.200195,8031.709961,8031.709961,2894340000,-1,21,6,2019
24/06/2019,8040.580078,8047.560059,8004.629883,8005.700195,8005.700195,2070370000,-1,24,6,2019
25/06/2019,8005.27002,8007.310059,7879.149902,7884.720215,7884.720215,2127310000,-1,25,6,2019
26/06/2019,7933.919922,7974.279785,7903.069824,7909.970215,7909.970215,2104750000,1,26,6,2019
27/06/2019,7939.359863,7976.580078,7935.470215,7967.759766,7967.759766,2023120000,1,27,6,2019
28/06/2019,7988.759766,8010.149902,7961.459961,8006.240234,8006.240234,4078990000,1,28,6,2019
01/07/2019,8145.850098,8150.450195,8059.290039,8091.160156,8091.160156,2208900000,1,1,7,2019
02/07/2019,8086.649902,8109.370117,8063.109863,8109.089844,8109.089844,1946320000,1,2,7,2019
03/07/2019,8129.569824,8170.22998,8122.339844,8170.22998,8170.22998,1548190000,1,3,7,2019
05/07/2019,8123.279785,8171.970215,8093.660156,8161.790039,8161.790039,149410000,-1,5,7,2019
08/07/2019,8112.910156,8161.790039,8078.390137,8098.379883,8098.379883,177320000,-1,8,7,2019
09/07/2019,8061.410156,8146.97998,8061.319824,8141.72998,8141.72998,1866770000,1,9,7,2019
10/07/2019,8183.189941,8228.599609,8160.560059,8202.530273,8202.530273,2060510000,1,10,7,2019
11/07/2019,8219.280273,8226.179688,8171.629883,8196.040039,8196.040039,1966970000,-1,11,7,2019
12/07/2019,8209.200195,8245.660156,8201.519531,8244.139648,8244.139648,1824870000,1,12,7,2019
15/07/2019,8263.179688,8264.780273,8236.269531,8258.19043,8258.19043,1783980000,1,15,7,2019
16/07/2019,8251.660156,8259.75,8204.230469,8222.799805,8222.799805,1933960000,-1,16,7,2019
17/07/2019,8224,8230.669922,8184.660156,8185.209961,8185.209961,1846960000,-1,17,7,2019
18/07/2019,8151.759766,8215.580078,8135.120117,8207.240234,8207.240234,2016310000,1,18,7,2019
19/07/2019,8241.339844,8245.780273,8144.629883,8146.490234,8146.490234,1878730000,-1,19,7,2019
22/07/2019,8171.990234,8218.419922,8171.540039,8204.139648,8204.139648,1845770000,1,22,7,2019
23/07/2019,8242.5,8251.830078,8193.889648,8251.400391,8251.400391,1832220000,1,23,7,2019
24/07/2019,8227.360352,8321.80957,8226.5,8321.5,8321.5,1947550000,1,24,7,2019
25/07/2019,8294.679688,8295.950195,8233.400391,8238.540039,8238.540039,2023130000,-1,25,7,2019
26/07/2019,8294.299805,8339.639648,8291.120117,8330.209961,8330.209961,1954350000,1,26,7,2019
29/07/2019,8325.099609,8325.280273,8247.370117,8293.330078,8293.330078,1874780000,-1,29,7,2019
30/07/2019,8231.769531,8295.459961,8228.019531,8273.610352,8273.610352,1884300000,-1,30,7,2019
31/07/2019,8290.799805,8299.830078,8110.02002,8175.419922,8175.419922,2667060000,-1,31,7,2019
01/08/2019,8190.560059,8311.040039,8080.52002,8111.120117,8111.120117,2792650000,-1,1,8,2019
02/08/2019,8056.419922,8068.799805,7953.669922,8004.069824,8004.069824,2252550000,-1,2,8,2019
05/08/2019,7823.330078,7836.450195,7662.899902,7726.040039,7726.040039,2636740000,-1,5,8,2019
06/08/2019,7804.509766,7845.009766,7739.569824,7833.27002,7833.27002,2201610000,1,6,8,2019
07/08/2019,7747.27002,7881.379883,7702.419922,7862.830078,7862.830078,2453230000,1,7,8,2019
08/08/2019,7921.589844,8041.120117,7896.149902,8039.160156,8039.160156,2415670000,1,8,8,2019
09/08/2019,7997.189941,8020.560059,7910.350098,7959.140137,7959.140137,2224330000,-1,9,8,2019
12/08/2019,7907.490234,7924.990234,7833.790039,7863.410156,7863.410156,2056360000,-1,12,8,2019
13/08/2019,7852.370117,8065.240234,7851.580078,8016.359863,8016.359863,2346980000,1,13,8,2019
14/08/2019,7877.330078,7900.279785,7762.870117,7773.939941,7773.939941,2522870000,-1,14,8,2019
15/08/2019,7790.200195,7805.930176,7716.549805,7766.620117,7766.620117,2182590000,-1,15,8,2019
16/08/2019,7828.350098,7907.52002,7828.350098,7895.990234,7895.990234,1995130000,1,16,8,2019
19/08/2019,8006.180176,8026.75,7895.990234,8002.810059,8002.810059,1934980000,1,19,8,2019
20/08/2019,7989.359863,8010.580078,7948.089844,7948.560059,7948.560059,1747580000,-1,20,8,2019
21/08/2019,8017.069824,8036.939941,7998.5,8020.209961,8020.209961,1716370000,1,21,8,2019
22/08/2019,8038.790039,8048.580078,7937.120117,7991.390137,7991.390137,1777630000,-1,22,8,2019
23/08/2019,7943.649902,8005.339844,7730.77002,7751.77002,7751.77002,2207070000,-1,23,8,2019
26/08/2019,7829.580078,7856.040039,7789.049805,7853.740234,7853.740234,1688860000,1,26,8,2019
27/08/2019,7908.779785,7916.830078,7795.180176,7826.950195,7826.950195,1913760000,-1,27,8,2019
28/08/2019,7798.350098,7866.870117,7766.669922,7856.879883,7856.879883,1656930000,1,28,8,2019
29/08/2019,7945.779785,7992.290039,7925.830078,7973.390137,7973.390137,1700840000,1,29,8,2019
30/08/2019,8015.160156,8017.910156,7914.740234,7962.879883,7962.879883,1665840000,-1,30,8,2019
03/09/2019,7906.439941,7940.370117,7847.319824,7874.160156,7874.160156,1936210000,-1,3,9,2019
04/09/2019,7949.810059,7981.410156,7928.939941,7976.879883,7976.879883,1891300000,1,4,9,2019
05/09/2019,8061.290039,8134.419922,8061.290039,8116.830078,8116.830078,2096300000,1,5,9,2019
06/09/2019,8125.580078,8134.390137,8098.52002,8103.069824,8103.069824,1876380000,-1,6,9,2019
09/09/2019,8130.910156,8131.660156,8052.339844,8087.439941,8087.439941,2172240000,-1,9,9,2019
10/09/2019,8049.97998,8086.529785,8001.680176,8084.160156,8084.160156,2362860000,-1,10,9,2019
11/09/2019,8091.680176,8169.680176,8081.560059,8169.680176,8169.680176,2310440000,1,11,9,2019
12/09/2019,8206.580078,8243.799805,8176.72998,8194.469727,8194.469727,2159260000,1,12,9,2019
13/09/2019,8190.569824,8210.200195,8165.470215,8176.709961,8176.709961,1976770000,-1,13,9,2019
16/09/2019,8121.640137,8165.330078,8121.25,8153.540039,8153.540039,1869220000,-1,16,9,2019
17/09/2019,8148.649902,8188.22998,8139.819824,8186.02002,8186.02002,1850340000,1,17,9,2019
18/09/2019,8174.620117,8179.870117,8086.220215,8177.390137,8177.390137,2034880000,-1,18,9,2019
19/09/2019,8193.589844,8237.429688,8174.319824,8182.879883,8182.879883,1792700000,1,19,9,2019
20/09/2019,8184.879883,8202.820313,8086.160156,8117.669922,8117.669922,3359380000,-1,20,9,2019
23/09/2019,8106.490234,8135.810059,8085.339844,8112.459961,8112.459961,1780160000,-1,23,9,2019
24/09/2019,8147.22998,8158.830078,7969.649902,7993.629883,7993.629883,2302600000,-1,24,9,2019
25/09/2019,7990.660156,8095,7935.569824,8077.379883,8077.379883,2015270000,1,25,9,2019
26/09/2019,8070.120117,8072.109863,7991.02002,8030.660156,8030.660156,1832800000,-1,26,9,2019
27/09/2019,8047.109863,8051.830078,7890.279785,7939.629883,7939.629883,2037720000,-1,27,9,2019
30/09/2019,7964.089844,8012.160156,7949.629883,7999.339844,7999.339844,1805820000,1,30,9,2019
01/10/2019,8026.830078,8062.5,7906.290039,7908.680176,7908.680176,2243650000,-1,1,10,2019
02/10/2019,7851.129883,7852.700195,7744.959961,7785.25,7785.25,2495160000,-1,2,10,2019
03/10/2019,7787.02002,7872.259766,7700,7872.259766,7872.259766,2141490000,1,3,10,2019
04/10/2019,7908.439941,7986.620117,7899.390137,7982.470215,7982.470215,1736890000,1,4,10,2019
07/10/2019,7956.410156,8013.310059,7942.080078,7956.290039,7956.290039,1739450000,-1,7,10,2019
08/10/2019,7898.27002,7921.879883,7823.72998,7823.779785,7823.779785,1933580000,-1,8,10,2019
09/10/2019,7895.959961,7930.919922,7873.52002,7903.740234,7903.740234,1553900000,1,9,10,2019
10/10/2019,7904.560059,7982.839844,7899.810059,7950.779785,7950.779785,1778740000,1,10,10,2019
11/10/2019,8047.339844,8115.799805,8046.799805,8057.040039,8057.040039,2176080000,1,11,10,2019
14/10/2019,8044.350098,8069.850098,8036.410156,8048.649902,8048.649902,1419730000,-1,14,10,2019
15/10/2019,8074.850098,8166.180176,8071.810059,8148.709961,8148.709961,1836650000,1,15,10,2019
16/10/2019,8119.810059,8146.149902,8103.379883,8124.180176,8124.180176,1886720000,-1,16,10,2019
17/10/2019,8176.910156,8183.640137,8131.25,8156.850098,8156.850098,1861570000,1,17,10,2019
18/10/2019,8149.850098,8157.359863,8045.370117,8089.540039,8089.540039,2012930000,-1,18,10,2019
21/10/2019,8137.419922,8164.140137,8117.259766,8162.990234,8162.990234,1752860000,1,21,10,2019
22/10/2019,8188.120117,8194.620117,8101.97998,8104.299805,8104.299805,1847200000,-1,22,10,2019
23/10/2019,8090.240234,8122.879883,8078.350098,8119.790039,8119.790039,1805030000,1,23,10,2019
24/10/2019,8180.040039,8187.839844,8137.660156,8185.799805,8185.799805,1882490000,1,24,10,2019
25/10/2019,8150.589844,8249.969727,8150.589844,8243.120117,8243.120117,1894740000,1,25,10,2019
28/10/2019,8285.769531,8335.55957,8285.269531,8325.990234,8325.990234,1956280000,1,28,10,2019
29/10/2019,8313.349609,8319.290039,8275.139648,8276.849609,8276.849609,1834530000,-1,29,10,2019
30/10/2019,8284.280273,8315.5,8241.700195,8303.980469,8303.980469,1928420000,1,30,10,2019
31/10/2019,8314.379883,8321.799805,8248.80957,8292.360352,8292.360352,2258270000,-1,31,10,2019
01/11/2019,8335.049805,8386.75,8326.55957,8386.400391,8386.400391,2057310000,1,1,11,2019
04/11/2019,8445.5,8451.370117,8421.299805,8433.200195,8433.200195,2149910000,1,4,11,2019
05/11/2019,8446.620117,8457.389648,8421.049805,8434.679688,8434.679688,2316710000,1,5,11,2019
06/11/2019,8426.570313,8426.570313,8379.330078,8410.629883,8410.629883,2332650000,-1,6,11,2019
07/11/2019,8455.110352,8483.160156,8415.870117,8434.519531,8434.519531,2393950000,1,7,11,2019
08/11/2019,8422.669922,8475.570313,8405.889648,8475.30957,8475.30957,1974190000,1,8,11,2019
11/11/2019,8431.259766,8467.290039,8425.480469,8464.280273,8464.280273,1715470000,-1,11,11,2019
12/11/2019,8471.070313,8514.839844,8462.990234,8486.089844,8486.089844,1987820000,1,12,11,2019
13/11/2019,8455.019531,8496.900391,8451.339844,8482.099609,8482.099609,2173320000,-1,13,11,2019
14/11/2019,8461.05957,8485.360352,8441.580078,8479.019531,8479.019531,2106550000,-1,14,11,2019
15/11/2019,8524.480469,8540.830078,8506.799805,8540.830078,8540.830078,2188210000,1,15,11,2019
18/11/2019,8529.160156,8559.780273,8503.620117,8549.94043,8549.94043,2047240000,1,18,11,2019
19/11/2019,8578.019531,8589.759766,8536.730469,8570.660156,8570.660156,2075000000,1,19,11,2019
20/11/2019,8543.570313,8578.269531,8468.629883,8526.730469,8526.730469,2596030000,-1,20,11,2019
